Artist,Title,Year,URL
Colör,Su Mädche wie mir,2001,https://youtu.be/yQ_G9jX9FYU?si=dNSAaQJwu9_PPyBR
Colör,Kölsche Mädche sin jefährlich,2001,https://youtu.be/gdKaI3TAMzI?si=U9L96Apu_6FiRx6u
De Boore,Rut sin de Ruse,2003,https://www.youtube.com/watch?v=G29kFfc3agQ
De Boore,Su oder su,2018,https://youtu.be/U-O4JnNuTX8?si=xbrZlQYLNvrKKaQs
De Boore,Tschau mit Au,2017,https://youtu.be/_hfavTt3ZmU?si=9bfTlsFS5kZiKdIy
Die Filue,10 Liter Kölsch,1996,https://www.youtube.com/watch?v=JFKtMlwEjO8
Domstürmer,Es es wie et es,2024,https://www.youtube.com/watch?v=38z5ilHj19k
Domstürmer, Janz schön Kölle,2016,https://youtu.be/An4KbZmfAOE?si=LBGW11KFUEjtAA-w
Domstürmer,"Meine Liebe, meine Stadt, mein Verein",2008,https://youtu.be/ddYClLIEbdU
Domstürmer,"Ohne Dom, ohne Ring, ohne Sunnesching",2015,https://youtu.be/ZJPnh9MUFik?si=CxA8PZIj_L8AZiA2
"Eko Fresh, Brings,Grüngürtelrosen",Bunte Brücke,2024,https://youtu.be/bGl3IvqYMWw?si=g5A1TVZH2xTEiaHn
Eldorado,Verlieb´ dich nie (Thekenmädche),2019,https://www.youtube.com/watch?v=RlhP25b-WTE
Fiasko,För Dich,2018,https://youtu.be/s6VAzFjwrLk?si=Bd5p29KZZIThjf42
Fiasko,Immer wenn et Naach weed,2020,https://www.youtube.com/watch?v=kpo046ly7x0
Fiasko,Kaffee in paris,2022,https://youtu.be/LLRuHFKfOog?si=IYfQU2baUWyVc3ld
Fiasko,Schwerelos,2019,https://youtu.be/51O6uEpo6_U?si=J30sAgiaLj7CPH15
Funky Marys,"D.A.N.Z.E",2014,https://www.youtube.com/watch?v=eDzTkOW6KV4
Funky Marys,Ich brauch kein Cabrio,2008,https://www.youtube.com/watch?v=Fvg0ngtGT5Y
Funky Marys,Königin,2020,https://www.youtube.com/watch?v=XMV0Nx2Sz5c
Funky Marys,Mer driehe an d´r Welt,2024,https://www.youtube.com/watch?v=6XlFXeAdj5s
Grüngürtelrosen,Kölle,2020,https://youtu.be/ZJ9uT2MCbyM?si=p2OpsvX2E0EKk8UC
Höhner,6 bis 8 Stunden Schlaf,2011,https://www.youtube.com/watch?v=kRV39TTyY0A
Höhner,Anna Havanna,2020,https://www.youtube.com/watch?v=MepNkTbvZl0
Höhner,Au revoir,2024,https://www.youtube.com/watch?v=5tBI1ru4ZnA
Höhner,"Blootwoosch, Kölsch un e lecker Mädche",1998,https://www.youtube.com/watch?v=n0mVxa13j18
Höhner,Carneval,2011,https://www.youtube.com/watch?v=hgp0IM2a2n4
Höhner,Die Karawane zieht weiter,1998,https://www.youtube.com/watch?v=EWdDEsiKVFE
Höhner,Die schönste Stroß,2021,https://www.youtube.com/watch?v=zQiaPMiOwWM
Höhner,E Levve Lang,2014,https://youtu.be/w88y36gNOgQ
Höhner,Echte Fründe,1990,https://www.youtube.com/watch?v=-cnw2duRJWg
Höhner,Hey Kölle du bes e jeföhl,1992,https://www.youtube.com/watch?v=TQpHUWnct4Y
Höhner,Ich ben ne Räuber,1982,https://www.youtube.com/watch?v=PtCU3M0Gbm0
Höhner,Kamellebud,1990,https://www.youtube.com/watch?v=cr9iyTX1Zqs
Höhner,Kumm loss mer fiere,1991,https://www.youtube.com/watch?v=Nq7XnIxBdtQ
Höhner,Lust auf Leben,1996,https://www.youtube.com/watch?v=5A90J6agFAM
Höhner,"Mer stonn zo dir, FC Kölle",1998,https://youtu.be/ha4GInQjCCU
Höhner,Prinzessin,2022,https://youtu.be/4AIFUBytmLo?si=RouvB-C5YkTQpLZ3
Höhner, Schenk mir dein Herz,2009,https://youtu.be/vpr1Nt9JZxs?si=CUXldn5BNXrK77sX
Höhner,"Steh auf,mach laut!",2014,https://www.youtube.com/watch?v=-ZCXIAT7Kic
Höhner,"Viva Colonia (Da simmer dabei, dat is prima!)",2003,https://www.youtube.com/watch?v=DD9oG1kIC2I
Höhner und Stefan Raab,Ävver et Hätz bliev he in Kölle,2012,https://www.youtube.com/watch?v=3LFjf-eMVhU
